ExerciseID,ExName,Description,ProgramID
486,burpees,Resistance band workout,141
487,knee tuck,Dynamic stretching exercises,409
488,burpees,TRX suspension training,360
489,plank,Bodyweight strength exercises,449
490,side plank,Boxing cardio workout,485
491,knee tuck,Plyometric jump training,226
492,crunches,Explosive power training,462
493,pull up,Flexibility and recovery session,130
494,chest fly,Plyometric jump training,159
495,push up,Functional strength exercises,104
496,back row,Powerlifting technique practice,224
497,leg curl,Full-body strength workout,191
498,leg raise,Explosive power training,235
499,bench dip,Cycling endurance session,299
